start	end	text
0	13580	My name is Karol Kozłowski. I was born on May 10, 2002, in Sosnowc in the city hospital at Emila Zegadłowicza Street, 3.0.1.2.0.
14080	17860	Mother Agnieszka, father Tomasz, I greet you.
17920	21720	The city of my origin is the place where everyone laughs in Poland.
22240	24160	Honestly, I don't know why.
24860	28080	It's ugly, but I saw it uglier and we don't have a market.
28980	35180	Currently, I live in Warsaw, in the so-called city of miracles, innovations and moments of degeneration.
35820	37040	And this is quite serious.
37380	43500	I like our capital because it shows me how our state has developed since the time of economic transformation.
44180	47240	No need for information is like a lesson, never too little.
48100	53720	I work as an engineer devops for one of the world's largest fintechs in the world, Visa Incorporated.
54440	59680	Remember, dear viewers, Visa is not a bank or a debit or credit card creator,
60560	64300	but a global system of calculating money between financial institutions,
64500	69500	i.e. such a very advanced machine to move numbers from place to place.
70620	76220	Devops sounds exotic, but in practice it is about ensuring a single-scale infrastructure
76220	80620	for IT projects and a wide range of automation processes.
80620	86780	In order not to get bored with buzzwords, I invite you to the section dedicated to my experience,
87220	88700	where I describe it a little more broadly.
89440	92340	What do I have in common with Kozłami, apart from the slang-sounding name?
93080	97000	Yes, I record a podcast talking to Kozłami, from young people for everyone.
97680	100940	You will find the link on the page or in the section dedicated to the podcast.
101480	103100	I am also a private investor.
103640	108500	In practice, it means that some of the hard-earned money I have already managed to lose both
108500	111080	and multiply in the cryptocurrency market.
111700	118680	And seriously, I think that the current monetary system and a wide range of macroeconomic conditions
118680	121040	are strongly pushing the middle class.
121600	126060	Therefore, investing is one of the few trampolines to the front.
126700	129780	Remember, however, that investing is involved with the risk
129780	132340	and it is absolutely not an investment order.
133000	140600	And I have honest hope that you will not listen to any of the local Warsaw network from the Internet.
141440	143200	Education is also something that has happened.
143800	146760	I have finished the information used for AGH.
147320	150340	Currently, I am in the course of major studies in the Warsaw Polytechnic,
151420	154080	although at the moment I pressed the URLOB-Dziekański,
154100	157980	to live a little and make some projects outside of the university.
157980	162660	In short, I study, but with a distance to academic drama.
163460	166780	My motto is to be hearty in your knowledge and praise.
167840	169080	What kind of book is this?
169320	170340	Okay, that's enough.
170800	173800	That's enough for health and to click on the content well.
